#Pacman
#X	Y	DIRECTION	SLEEP	SIZE	ID	BOUNCES	CAUGHT
151.96518658530874	39.334803829846756	BACKWARD	30	49.28189333117897	0	194	false	
274.9491848784001	353.9566471467445	FORWARD	38	52.12581736072563	1	111	false	
243.94100843087912	159.9148792334332	FORWARD	32	47.88201686175825	2	122	false	
25.946800299508766	398.2276807612413	BACKWARD	39	51.893600599017525	3	101	false	
269.04439699283444	338.36514991526536	FORWARD	33	58.08879398566885	4	122	false	
38.12788403130725	251.33478720088814	BACKWARD	33	56.25576806261451	5	119	false	
565.1589500238531	261.7208635047646	FORWARD	38	49.68209995229387	6	105	false	
386.0557638660167	71.12160504815353	BACKWARD	39	47.888472267966456	7	108	false	
363.2723210579687	257.37631883892226	UPWARD	35	54.75263767784453	8	189	false	
424.49446417678996	354.0913102740521	FORWARD	30	51.01107164642002	9	136	false	
